"folder";"image";"j_text";"e_text"
"CHR_BD2";"0001349696_j";"引き分け
あなた
引き分けました";"Draw
Player
Match ended in a tie."
"CHR_BD2";"0001637696_j";"北海道地区
東北地区
北関東地区
南関東地区";"Hokkaido
Tohoku
North Kanto
South Kanto"
"CHR_BD2";"0001704512_j";"甲信越地区
東海地区
北陸地区
近畿地区";"Koshin'etsu
Tokai
Hokuriku
Kinki"
"CHR_BD2";"0001771328_j";"中国地区
四国地区
九州地区
沖縄地区";"Chugoku
Shikoku
Kyushu
Okinawa"
"CHR_BD2";"0001839168_j";"全国制覇";"Complete Domination"
"CHR_BD2";"0002127168_j";"○ボタンを押してください";"Press the × button"
"CHR_BD2";"0002195520_j";"松野鶴子";"Tsuruko Matsuno"
"CHR_BD2";"0002330688_j";"赤井ウメ";"Ume Akai"
"CHR_BD2";"0002465856_j";"藤田峰男";"Fujita Mineo"
"CHR_BD2";"0002601024_j";"橋本あやめ";"Ayame Hashimoto"
"CHR_BD2";"0002736192_j";"丹波長助";"Chousuke Tanba"
"CHR_BD2";"0002871360_j";"萩尾望";"Nozomi Hagio"
"CHR_BD2";"0002938176_j";"萩尾望";"Nozomi Hagio"
"CHR_BD2";"0003006528_j";"桜井蒔雄";"Makio Sakurai"
"CHR_BD2";"0003141696_j";"鈴木雁之助";"Gannosuke Suzuki"
"CHR_BD2";"0003276864_j";"坂田菊道";"Kikumichi Sakata"
"CHR_BD2";"0003412032_j";"鹿野紅夫";"Kuro Shikano"
"CHR_BD2";"0003547200_j";"小柳道子";"Michiko Koyanagi"
"CHR_BD2";"0003682368_j";"鳳桐子";"Kiriko Otori"
"CHR_BD2";"0003817664_j";"あなた
点
COM1
点
青短
桐シマ
花見酒
表菅原
赤短
雨シマ
月見酒
のみ
四光
藤シマ
猪鹿蝶
六短
五光
くち
松桐坊主
七短";"Player
Pts
COM 1
Pts
Blue Ribbons
Paulownia Row
Flower Viewing
Spring
Poetry Ribbons
Willow Row
Moon Viewing
Drinking
Four Brights
Wisteria Row
Boar, Deer, Butterflies
Six Ribbons
Five Brights
Grass Ribbons
Paulownia, Pine, Moon
Seven Ribbons"
"CHR_BD2";"0003884480_j";"親
子1
子2
月
点";"Bk(Banker)
P1
P2
Round
Pts"
"CHR_BD2";"0003951296_j - 0004218560_j";"月
あなた
COM1
COM2
取札
出来役
支払役
基準点
合計
得点
桐シマ
花見酒
表菅原
青短
COM2
点
雨シマ
月見酒
のみ
赤短
藤シマ
猪鹿蝶
六短
四光
くち
松桐坊主
七短
五光";"Round
Player
COM 1
COM 2
Card Points
Yaku Points
Pay Up
Par Value
Total
Score
Paulownia Row
Flower Viewing
Spring
Blue Ribbons
COM 2
Pts
Willow Row
Moon Viewing
Drinking
Poetry Ribbons
Wisteria Row
Boar, Deer, Butterflies
Six Ribbons
Four Brights
Grass Ribbons
Paulownia, Pine, Moon
Seven Ribbons
Five Brights"
"CHR_BD2";"0004285376_j - 0004552640_j";"あなた
COM1
COM2
1 月
2 月
3 月
4 月
5 月
6 月
合計
7 月
10 月
点
8 月
11 月
9 月
12 月";"Player
COM 1
COM 2
Round 1
Round 2
Round 3
Round 4
Round 5
Round 6
Score
Round 7
Round 10
Pts
Round 8
Round 11
Round 9
Round 12"
"CHR_BD2";"0004619456_j";"グームを中断してメニューに戻ります。
よろしいですか?";"Quit the game and return to the menu?"
"CHR_BD2";"0004686272_j";"この勝負までのデータをセーブします。
よろしいですか?";"Save the progress up to this point?"
"CHR_BD2";"0004753088_j";"戻る
終了
はい
いいえ";"Return
Quit Game
Yes
No"
"CHR_BD2";"0004822592_j";"対戦終了
○ボタンを押してください
○ボタンを押してください
対戦終了";"End of Round
Press the × button
Press the × button
End of Round"
"CHR_BD2";"0006326400_j";"あなた
貫
COM
貫
親
子
引く
引く
引かない
引かない";"Player
Pts
COM
Pts
Bk
Pl
Draw Card
Draw Card
Don't Draw
Don't Draw"
"CHR_BD2";"0006393216_j";"ブタ
ブタ
ピン
ピン
ニゾウ
ニゾウ
サンタ
サンタ";"10 ""Buta""
10 ""Buta""
1 ""Pin""
1 ""Pin""
2 ""Nizo""
2 ""Nizo""
3 ""Santa""
3 ""Santa"""
"CHR_BD2";"0006460032_j";"ヨツヤ
ヨツヤ
ゴケ
ゴケ
ロッポウ
ロッポウ
七ケン
七ケン
オイチョ
オイチョ";"4 ""Yotsuya""
4 ""Yotsuya""
5 ""Gosu""
5 ""Gosu""
6 ""Roppo""
6 ""Roppo""
7 ""Nanaken""
7 ""Nanaken""
8 ""Oicho""
8 ""Oicho"""
"CHR_BD2";"0006526848_j";"カブ
カブ
START
勝負
回戦";"9 ""Kabu""
9 ""Kabu""
START
Showdown
Round"
"CHR_BD2";"0006593664_j";"シッピン
シッピン
クッピン
クッピン
アラシ
アラシ";"Dealer 4 and 1
Dealer 4 and 1
Dealer 9 and 1
Dealer 9 and 1
Three of a Kind
Three of a Kind"
"CHR_BD2";"0006660480_j";"終了
巣立ち";"End of Game
Changing Dealer"
"CHR_BD2";"0006798848_j";"勝
負";
"CHR_BD2";"0006953152_j";"文
文
カス
赤短
三光
雨四光
タン
猪鹿蝶
親権
親
タネ
花見酒
四光
子
青短
月見酒
五光";"Pts
Pts
Chaff
Poetry Ribbons
Three Brights
Rainy Four Brights
Ribbons
Boar-Deer-Butterfly
Dealer's Privilege
Bk
Animals
Flower Viewing
Four Brights
Pl
Blue Ribbons
Moon Viewing
Five Brights"
"CHR_BD2";"0007019968_j";"こいこい
勝負
合計
文
COM
あなた
文
月";"Koi-Koi
Shobu
Total
Pts
COM
Player
Pts
Round"
"CHR_BD2";"0007220416_j";"カス
赤短
三光
雨四光
タン
猪鹿蝶
松桐坊主
タネ
花見酒
四光
青短
月見酒
五光";"Chaff
Poetry Ribbons
Three Brights
Rainy Four Brights
Ribbons
Boar-Deer-Butterfly
Dealer's Privilege
Animals
Flower Viewing
Four Brights
Blue Ribbons
Moon Viewing
Five Brights"
"CHR_BD2";"0007287232_j";"SELECT ボタン:ウィンドウの非表示";"SELECT: Hide Window"
"CHR_BD2";"0007354048_j";"松田鶴子
COM
あなた
次へ";"Tsuruko Matsuda
COM
Player
Next"
"CHR_BD2";"0007821760_j";"グームを中断してメニューに戻ります。
よろしいですか?";"Quit the game and return to the menu?"
"CHR_BD2";"0007888576_j";"この勝負までのデータをセーブします。
よろしいですか?";"Save the progress up to this point?"
"CHR_BD2";"0007955392_j";"戻る
終了
はい
いいえ";"Return
Quit Game
Yes
No"
"CHR_BD2";"0009314368_j - 0009381184_j";"得点
月
COM
あなた";"Points Scored
Round
COM
Player"
"CHR_BD2";"0009514816_j";"COM
合計
あなた
合計";"COM
Total
Player
Total"
"CHR_BD2";"0009581632_j";"文
文";"Pts
Pts"
"CHR_BD2";"0009650368_j - 0009984448_j";"勝利
あなたは勝利しました";"Victory
You have won this match."
"CHR_BD2";"0010051264_j - 0010385344_j";"敗北
あなたは負しました";"Defeat
You have lost this match."
"CHR_BD2";"0010452160_j - 0010786240_j";"引き分け
引き分けました";"Draw
Match ended in a tie."
"CHR_BD2";"0010854464_j";"敗北
あなた
あなたは負しました";"Defeat
Player
You have lost this match."
"CHR_BD2";"0011142464_j";"北海道地区
東北地区
北関東地区
南関東地区";"Hokkaido
Tohoku
North Kanto
South Kanto"
"CHR_BD2";"0011209280_j";"甲信越地区
東海地区
北陸地区
近畿地区";"Koshin'etsu
Tokai
Hokuriku
Kinki"
"CHR_BD2";"0011276096_j";"中国地区
四国地区
九州地区
沖縄地区";"Chugoku
Shikoku
Kyushu
Okinawa"
"CHR_BD2";"0011765824_j";"メモリ一カ一ド(PS2)が
差さっていません。";"Memory card (PS2)
is not inserted."
"CHR_BD2";"0012053824_j";"メモリ一カ一ド(PS2)をチェックしています。
抜き差ししたり、
本体の電源を切らないでください。";"Now checking memory card (PS2).
Do not remove memory cards
or turn off the console."
"CHR_BD2";"0012445760_j";"設定
無し
ON
OFF
ON
OFF";"Options
NONE
ON
OFF
ON
OFF"
"CHR_BD2";"0012733760_j";"BGM
効果音
SE
無し
対戦成績
STEREO
MONO";"BGM
SE
SE
NONE
RECORDS
STEREO
MONO"
"CHR_BD2";"0012800576_j";"ON
OFF
戻る
札絵柄アニメ";"ON
OFF
Return
CARD ANIMATIONS"
"CHR_BD2";"0012867712_j - 0013201792_j";"親決め
あなた
COM
方向キー上下で札を選択して○ボタンで定してください";"Choosing the Dealer
Player
COM
Use the D-pad to select a card and confirm with × button."
"CHR_BD2";"0013268608_j";"親
子";"Bk
Pl"
"CHR_BD2";"0013335424_j";"文
文
カス
赤短
三光
雨四光
タン
猪鹿蝶
親権
親
タネ
花見酒
四光
子
青短
月見酒
五光";"Pts
Pts
Chaff
Poetry Ribbons
Three Brights
Rainy Four Brights
Ribbons
Boar-Deer-Butterfly
Dealer's Privilege
Bk
Animals
Flower Viewing
Four Brights
Pl
Blue Ribbons
Moon Viewing
Five Brights"
"CHR_BD2";"0013417344_j";"月";"Month"
"CHR_BD2";"0013486208_j - 0013820288_j";"親決め
方向キー上下で札を選択して○ボタンで定してください";"Choosing the Dealer
Use the D-pad to select a card and confirm with × button."
"CHR_BD2";"0013887104_j";"親
あなた
COM1
COM2
子2
子1";"BK
Player
COM1
COM2
P2
P1"
"CHR_BD2";"0013953920_j";"文
文
カス
赤短
三光
雨四光
タン
猪鹿蝶
親権
親
タネ
花見酒
四光
子
青短
月見酒
五光";"Pts
Pts
Chaff
Poetry Ribbons
Three Brights
Rainy Four Brights
Ribbons
Boar-Deer-Butterfly
Dealer's Privilege
Bk
Animals
Flower Viewing
Four Brights
Pl
Blue Ribbons
Moon Viewing
Five Brights"
"CHR_BD2";"0014022784_j";"フリー対戦こいこい
戦
勝
敗
五光
回
四光
回
三光
回
雨四光
回
猪鹿蝶
回
花見酒
回
月見酒
回
赤短
回
青短
回";"Free Mode Koi-Koi
Played
Won
Lost
Five Brights
Times
Four Brights
Times
Three Brights
Times
Rainy Four Brights
Times
Boar-Deer-Butterfly
Times
Flower Viewing
Times
Moon Viewing
Times
Poetry Ribbons
Times
Blue Ribbons
Times"
"CHR_BD2";"0014310784_j";"フリー対戦花合わせ
戦
勝
敗
五光
回
四光
回
のみ
回
赤短
回
青短
回
くさ
回
松桐坊主
回
表官原
回
シマ
回
猪鹿蝶
回
六短
回
七短
回";"Free Mode Hana-Awase
Played
Won
Lost
Five Brights
Times
Four Brights
Times
Drinking
Times
Poetry Ribbons
Times
Blue Ribbons
Times
Grass Ribbons
Times
Pine, Paulownia, Moon
Times
Spring
Times
Any Row
Times
Boar, Deer, Butterflies
Times
Six Ribbons
Times
Seven Ribbons
Times"
"CHR_BD2";"0014598784_j";"フリー対戦おいちょかぶ
戦
勝
敗
親
回
シッピン
回
クッピン
回
アラシ
回";"Free Mode Oicho-Kabu
Played
Won
Lost
Dealer
Times
Dealer 4 and 1
Times
Dealer 9 and 1
Times
Three of a Kind
Times"
